Compliant mechanism problem with OC
nodes: 40 x 20
volfrac: 0.3, rmin: 1.2,  penal: 3.0
Filter method: Sensitivity based
it.: 0 , obj.: 0.1177005311 Vol.: 0.2840000000, ch.: 0.1000000000
it.: 1 , obj.: 0.0102302413 Vol.: 0.2935000000, ch.: 0.1000000000
it.: 2 , obj.: 0.0000672003 Vol.: 0.2892732500, ch.: 0.1000000000
it.: 3 , obj.: -0.0000000041 Vol.: 0.2825102630, ch.: 0.1000000000
it.: 4 , obj.: -0.0080278131 Vol.: 0.2692055596, ch.: 0.1000000000
it.: 5 , obj.: -0.0624933534 Vol.: 0.2999998434, ch.: 0.1000000000
it.: 6 , obj.: -0.1574294806 Vol.: 0.3000021309, ch.: 0.1000000000
it.: 7 , obj.: -0.2849878639 Vol.: 0.3000005515, ch.: 0.1000000000
it.: 8 , obj.: -0.4244088557 Vol.: 0.2999995681, ch.: 0.1000000000
it.: 9 , obj.: -0.5672404149 Vol.: 0.2999989901, ch.: 0.1000000000
it.: 10 , obj.: -0.6881982988 Vol.: 0.2999982015, ch.: 0.1000000000
it.: 11 , obj.: -0.7991862001 Vol.: 0.2999983844, ch.: 0.1000000000
it.: 12 , obj.: -0.8585338750 Vol.: 0.2999997137, ch.: 0.1000000000
it.: 13 , obj.: -0.9093754697 Vol.: 0.2999990053, ch.: 0.1000000000
it.: 14 , obj.: -0.9218927330 Vol.: 0.3000009614, ch.: 0.1000000000
it.: 15 , obj.: -0.9307576070 Vol.: 0.2999994076, ch.: 0.1000000000
it.: 16 , obj.: -0.9360586567 Vol.: 0.2999998579, ch.: 0.1000000000
it.: 17 , obj.: -0.9395175785 Vol.: 0.3000003780, ch.: 0.1000000000
it.: 18 , obj.: -0.9408909778 Vol.: 0.3000002131, ch.: 0.1000000000
it.: 19 , obj.: -0.9416394648 Vol.: 0.2999999019, ch.: 0.1000000000
it.: 20 , obj.: -0.9421577032 Vol.: 0.2999993258, ch.: 0.0817260457
it.: 21 , obj.: -0.9425333921 Vol.: 0.2999996019, ch.: 0.0792545462
it.: 22 , obj.: -0.9428221720 Vol.: 0.3000002708, ch.: 0.0647780969
it.: 23 , obj.: -0.9430743198 Vol.: 0.2999994297, ch.: 0.0720314225
it.: 24 , obj.: -0.9433028569 Vol.: 0.3000008246, ch.: 0.0757331921
it.: 25 , obj.: -0.9435156096 Vol.: 0.3000006344, ch.: 0.0589317533
it.: 26 , obj.: -0.9437091134 Vol.: 0.2999999788, ch.: 0.0691485597
it.: 27 , obj.: -0.9438845308 Vol.: 0.2999996439, ch.: 0.0811415932
it.: 28 , obj.: -0.9440612589 Vol.: 0.3000007126, ch.: 0.0809027118
it.: 29 , obj.: -0.9442460711 Vol.: 0.3000007254, ch.: 0.0591561258
it.: 30 , obj.: -0.9444188118 Vol.: 0.2999993889, ch.: 0.0550164188
it.: 31 , obj.: -0.9445468348 Vol.: 0.2999991896, ch.: 0.0422074344
it.: 32 , obj.: -0.9446473806 Vol.: 0.3000001761, ch.: 0.0402408048
it.: 33 , obj.: -0.9447059724 Vol.: 0.3000000392, ch.: 0.0292736771
it.: 34 , obj.: -0.9447315067 Vol.: 0.2999995647, ch.: 0.0135251713
it.: 35 , obj.: -0.9447402797 Vol.: 0.2999998406, ch.: 0.0031173608
